crop_renamed,fertiliser_type,residue_policy,scen_label,mean_resp,sd_resp,n_rot,driver,is_reference,is_vapv_zero
Winter Wheat,Biogas digestate,Residue removed,Reference,8.850566900833334,0.7055393190088297,4,Radiation,TRUE,FALSE
Spring Barley,Biogas digestate,Residue removed,Reference,10.946585761666666,1.5474834722802322,4,Radiation,TRUE,FALSE
Soybean,Biogas digestate,Residue removed,Reference,5.8815811,0.2870881072235258,4,Radiation,TRUE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Reference,0.6088628190833333,0.13861523172250378,4,Radiation,TRUE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Reference,15.360888377821968,1.7658690160851478,4,Radiation,TRUE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Rad 0%,6.641024181666666,0.7244235133049964,4,Radiation,FALSE,TRUE
Spring Barley,Biogas digestate,Residue removed,Rad 0%,9.437652647416666,0.8969577827020873,4,Radiation,FALSE,TRUE
Soybean,Biogas digestate,Residue removed,Rad 0%,5.146641033333333,0.15101807479140453,4,Radiation,FALSE,TRUE
Ryegrass (undersown),Biogas digestate,Residue removed,Rad 0%,0.17037564416666667,0.024088627972064135,4,Radiation,FALSE,TRUE
Grass-Clover,Biogas digestate,Residue removed,Rad 0%,11.992932842026516,1.1693559056690046,4,Radiation,FALSE,TRUE
Winter Wheat,Biogas digestate,Residue removed,Rad -5%,6.056222146666666,0.6726726142623922,4,Radiation,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Rad -5%,9.216738654783335,0.8122560236893547,4,Radiation,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Rad -5%,5.0239871166666665,0.1274904796750069,4,Radiation,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Rad -5%,0.13637514141666668,0.018906008273734957,4,Radiation,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Rad -5%,11.474081977575757,0.3685633929350119,4,Radiation,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Rad -10%,5.508430765,0.6249102664757196,4,Radiation,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Rad -10%,8.944706012166666,0.7609307256985206,4,Radiation,FALSE,FALSE
Soybean,Biogas digestate,Residue removed,Rad -10%,4.876146933333333,0.13459515742967057,4,Radiation,FALSE,FALSE
Ryegrass (undersown),Biogas digestate,Residue removed,Rad -10%,0.11012621179166668,0.013616455046568745,4,Radiation,FALSE,FALSE
Grass-Clover,Biogas digestate,Residue removed,Rad -10%,11.357023846615151,0.5487886009049785,4,Radiation,FALSE,FALSE
Winter Wheat,Biogas digestate,Residue removed,Rad -20%,4.2668562733333335,0.5628400110826464,4,Radiation,FALSE,FALSE
Spring Barley,Biogas digestate,Residue removed,Rad -20%,8.216022102416666,0.578017717911797,4,Radiation,FALSE,FALSE
