crop_renamed,Weather,year,month,mday,agb_MgDM_ha,grain_MgDM_ha,lai,year_class,window_spei,source,date,day_of_year,scenario,series
Winter Wheat,weatherBaselineopen,2023,1,1,0.1875655882,0,0.527078,Near-normal,0.2874774103294811,named in manuscript,2023-01-01,1,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,2,0.1882045194,0,0.527637,Near-normal,0.2874774103294811,named in manuscript,2023-01-02,2,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,3,0.1888015662,0,0.528126,Near-normal,0.2874774103294811,named in manuscript,2023-01-03,3,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,4,0.1890518989,0,0.528533,Near-normal,0.2874774103294811,named in manuscript,2023-01-04,4,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,5,0.1892933621,0,0.52835,Near-normal,0.2874774103294811,named in manuscript,2023-01-05,5,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,6,0.189417121,0,0.527608,Near-normal,0.2874774103294811,named in manuscript,2023-01-06,6,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,7,0.189541155,0,0.527511,Near-normal,0.2874774103294811,named in manuscript,2023-01-07,7,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,8,0.189893976,0,0.526762,Near-normal,0.2874774103294811,named in manuscript,2023-01-08,8,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,9,0.19045663999999998,0,0.526225,Near-normal,0.2874774103294811,named in manuscript,2023-01-09,9,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,10,0.191021476,0,0.52632,Near-normal,0.2874774103294811,named in manuscript,2023-01-10,10,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,11,0.191617214,0,0.526618,Near-normal,0.2874774103294811,named in manuscript,2023-01-11,11,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,12,0.19255259800000002,0,0.527064,Near-normal,0.2874774103294811,named in manuscript,2023-01-12,12,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,13,0.193210864,0,0.528144,Near-normal,0.2874774103294811,named in manuscript,2023-01-13,13,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,14,0.193620002,0,0.528683,Near-normal,0.2874774103294811,named in manuscript,2023-01-14,14,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,15,0.19396503499999998,0,0.528367,Near-normal,0.2874774103294811,named in manuscript,2023-01-15,15,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,16,0.194108254,0,0.528018,Near-normal,0.2874774103294811,named in manuscript,2023-01-16,16,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,17,0.194006432,0,0.527213,Near-normal,0.2874774103294811,named in manuscript,2023-01-17,17,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,18,0.193769611,0,0.526045,Near-normal,0.2874774103294811,named in manuscript,2023-01-18,18,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,19,0.19356860999999997,0,0.524708,Near-normal,0.2874774103294811,named in manuscript,2023-01-19,19,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,20,0.19335627,0,0.523843,Near-normal,0.2874774103294811,named in manuscript,2023-01-20,20,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,21,0.1931653,0,0.522947,Near-normal,0.2874774103294811,named in manuscript,2023-01-21,21,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,22,0.19297419000000002,0,0.522113,Near-normal,0.2874774103294811,named in manuscript,2023-01-22,22,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,23,0.19278296000000003,0,0.521279,Near-normal,0.2874774103294811,named in manuscript,2023-01-23,23,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,24,0.19259259,0,0.520447,Near-normal,0.2874774103294811,named in manuscript,2023-01-24,24,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,25,0.19237738999999998,0,0.519614,Near-normal,0.2874774103294811,named in manuscript,2023-01-25,25,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,26,0.19205702,0,0.518697,Near-normal,0.2874774103294811,named in manuscript,2023-01-26,26,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,27,0.19178897,0,0.517488,Near-normal,0.2874774103294811,named in manuscript,2023-01-27,27,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,28,0.19159998000000003,0,0.516439,Near-normal,0.2874774103294811,named in manuscript,2023-01-28,28,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,29,0.19134594,0,0.515607,Near-normal,0.2874774103294811,named in manuscript,2023-01-29,29,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,30,0.19124505000000003,0,0.514578,Near-normal,0.2874774103294811,named in manuscript,2023-01-30,30,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,1,31,0.19112952,0,0.514023,Near-normal,0.2874774103294811,named in manuscript,2023-01-31,31,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,2,1,0.19082523,0,0.512596,Near-normal,0.2874774103294811,named in manuscript,2023-02-01,32,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,2,2,0.19050034999999998,0,0.510719,Near-normal,0.2874774103294811,named in manuscript,2023-02-02,33,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,2,3,0.19026377999999997,0,0.509487,Near-normal,0.2874774103294811,named in manuscript,2023-02-03,34,Open field,Open field - Near-normal (2023)
Winter Wheat,weatherBaselineopen,2023,2,4,0.18993952,0,0.508496,Near-normal,0.2874774103294811,named in manuscript,2023-02-04,35,Open field,Open field - Near-normal (2023)
