crop_renamed,fertiliser_type,residue_policy,scen_label,mean_resp,sd_resp,n_rot
Soybean,Mineral fertiliser,Residue removed,Rad -10% C,-24.780682138782673,2.435734741311782,4
Soybean,Mineral fertiliser,Residue removed,Rad -20% C,-34.01219483526721,3.3549657489685054,4
Soybean,Mineral fertiliser,Residue removed,Rad -30% C,-42.82890102221514,3.9200441175442307,4
Soybean,Mineral fertiliser,Residue removed,Rad -5% C,-20.763241751718944,1.6950683349296143,4
Soybean,Mineral fertiliser,Residue removed,Rad 0% C,-16.729189065773934,1.4951935668019942,4
Soybean,Mineral fertiliser,Residue removed,Rad 0% E,-21.713773928400133,2.756673851497394,4
Soybean,Mineral fertiliser,Residue removed,Rad 0% W,-25.386184255613433,1.8383140189050442,4
Soybean,Mineral fertiliser,Residue removed,Tmp +0.5degC C,0.08139874130380427,0.6614947926449098,4
Soybean,Mineral fertiliser,Residue removed,Tmp +1degC C,8.441717207200393,2.5077300342298,4
Soybean,Mineral fertiliser,Residue removed,Tmp +2degC C,14.79047980968229,8.547369691129884,4
Soybean,Mineral fertiliser,Residue removed,Tmp +3degC C,14.264248896092285,12.871734852719495,4
Soybean,Mineral fertiliser,Residue removed,Tmp -2degC C,-60.94916383022792,3.316725666596323,4
Soybean,Mineral fertiliser,Residue removed,Tmp -3degC C,-81.11522314583017,2.727162181640984,4
Soybean,Mineral fertiliser,Residue removed,Tmp 0degC C,-11.452703830120226,2.477840766575577,4
Soybean,Mineral fertiliser,Residue removed,Tmp 0degC E,-11.051096311497037,2.3201357360957466,4
Soybean,Mineral fertiliser,Residue removed,Tmp 0degC W,-11.63398374687742,1.6952379514244877,4
Soybean,Mineral fertiliser,Residue removed,Wind -20% C,1.6799147045636853,0.592342747250326,4
Soybean,Mineral fertiliser,Residue removed,Wind -30% C,2.013695146586866,0.7357958051559904,4
Soybean,Mineral fertiliser,Residue removed,Wind -40% C,2.278180948441886,0.7878720213399617,4
Soybean,Mineral fertiliser,Residue removed,Wind -50% C,2.5762216856655,0.8904591482761526,4
Soybean,Mineral fertiliser,Residue removed,Wind -60% C,2.885031426802427,1.071725145182709,4
Soybean,Mineral fertiliser,Residue removed,Wind -70% C,3.089380158204432,1.0990906914431964,4
Soybean,Mineral fertiliser,Residue removed,Wind 0% C,1.0575241399564947,0.3732145870110915,4
Soybean,Mineral fertiliser,Residue removed,Wind 0% E,0.965657657413821,0.26373393038464593,4
Soybean,Mineral fertiliser,Residue removed,Wind 0% W,1.1431482404132802,0.4760521236937507,4
Soybean,Mineral fertiliser,Residue retained,Rad -10% C,-24.78107924066368,2.435604646297671,4
Soybean,Mineral fertiliser,Residue retained,Rad -20% C,-34.012557629433516,3.3550367803912287,4
Soybean,Mineral fertiliser,Residue retained,Rad -30% C,-42.82921641332278,3.920063452872953,4
Soybean,Mineral fertiliser,Residue retained,Rad -5% C,-20.7637215799484,1.6948493676183793,4
Soybean,Mineral fertiliser,Residue retained,Rad 0% C,-16.729772674572725,1.4949823619487395,4
Soybean,Mineral fertiliser,Residue retained,Rad 0% E,-21.714223983002434,2.756558820340583,4
Soybean,Mineral fertiliser,Residue retained,Rad 0% W,-25.38655271529654,1.8383215226168521,4
Soybean,Mineral fertiliser,Residue retained,Tmp +0.5degC C,0.0809095400023884,0.6614322834397827,4
Soybean,Mineral fertiliser,Residue retained,Tmp +1degC C,8.44126256818901,2.507998785726544,4
