depth,scen_label,year,mean_delta_soc_pct,sd_delta_soc_pct,n_rotations,driver
0-30 cm,Rad -30%,1998,-0.02799400871516289,0.02484090409444747,4,Radiation
0-30 cm,Rad -30%,1999,-0.19501712658116585,0.2729554056481334,4,Radiation
0-30 cm,Rad -30%,2000,-0.4596199540595076,0.5955404384467828,4,Radiation
0-30 cm,Rad -30%,2001,-0.8567537202763318,0.6257295753826958,4,Radiation
0-30 cm,Rad -30%,2002,-1.110209199519207,0.6993714738633754,4,Radiation
0-30 cm,Rad -30%,2003,-1.2438647544423693,0.8844839392840252,4,Radiation
0-30 cm,Rad -30%,2004,-1.4200033169495963,0.9860265985655277,4,Radiation
0-30 cm,Rad -30%,2005,-1.6489960209989243,1.168197501444006,4,Radiation
0-30 cm,Rad -30%,2006,-1.865760661492253,0.8765504096286716,4,Radiation
0-30 cm,Rad -30%,2007,-1.9080287815928003,1.103969754917552,4,Radiation
0-30 cm,Rad -30%,2008,-1.9020345295220809,1.5236246202178259,4,Radiation
0-30 cm,Rad -30%,2009,-2.0934917168399263,1.5658183630382867,4,Radiation
0-30 cm,Rad -30%,2010,-2.4616023464549586,1.5178749298942622,4,Radiation
0-30 cm,Rad -30%,2011,-2.6880989174115455,1.291280067250622,4,Radiation
0-30 cm,Rad -30%,2012,-2.8538915898969544,1.5387521525066343,4,Radiation
0-30 cm,Rad -30%,2013,-3.010559551451704,1.4508409097051143,4,Radiation
0-30 cm,Rad -30%,2014,-2.996211450410645,1.081344643938883,4,Radiation
0-30 cm,Rad -30%,2015,-2.955073090830842,0.9136031219300398,4,Radiation
0-30 cm,Rad -30%,2016,-2.9359139419422715,1.1135815007006264,4,Radiation
0-30 cm,Rad -30%,2017,-2.881302353443319,1.519198839431237,4,Radiation
0-30 cm,Rad -30%,2018,-2.9570934376764675,1.62439461390895,4,Radiation
0-30 cm,Rad -30%,2019,-3.088318467826714,1.579729676240939,4,Radiation
0-30 cm,Rad -30%,2020,-3.364777764445958,1.4977544692362736,4,Radiation
0-30 cm,Rad -30%,2021,-3.732875303959242,1.4012224184939657,4,Radiation
0-30 cm,Rad -30%,2022,-3.9292372230591863,1.4874734426814589,4,Radiation
0-30 cm,Rad -30%,2023,-4.060487484768997,1.6374152721661754,4,Radiation
0-30 cm,Rad -30%,2024,-4.283989520707505,1.5308475332200173,4,Radiation
0-30 cm,Rad 0%,1998,-0.013041842278053857,0.019290943989251918,4,Radiation
0-30 cm,Rad 0%,1999,-0.12590474359744722,0.08244658917042631,4,Radiation
0-30 cm,Rad 0%,2000,-0.28576370829521325,0.13291147732771716,4,Radiation
0-30 cm,Rad 0%,2001,-0.5065292630660293,0.12224246439847036,4,Radiation
0-30 cm,Rad 0%,2002,-0.5464486942940954,0.42055081721001575,4,Radiation
0-30 cm,Rad 0%,2003,-0.434537793526549,0.9610231960503138,4,Radiation
0-30 cm,Rad 0%,2004,-0.5163855910320815,1.16638499824952,4,Radiation
0-30 cm,Rad 0%,2005,-0.6082658117302888,1.2951181812570352,4,Radiation
0-30 cm,Rad 0%,2006,-0.7835149306162335,1.3070467922069156,4,Radiation
0-30 cm,Rad 0%,2007,-1.0149844908158634,1.3252780244304743,4,Radiation
0-30 cm,Rad 0%,2008,-1.1427056011978176,1.3390735243641636,4,Radiation
0-30 cm,Rad 0%,2009,-1.2972176914429545,1.328145666389476,4,Radiation
0-30 cm,Rad 0%,2010,-1.4941675848523202,1.2386065434409628,4,Radiation
0-30 cm,Rad 0%,2011,-1.578105963799223,0.8171606160345632,4,Radiation
0-30 cm,Rad 0%,2012,-1.4766314193215104,0.8736456746630022,4,Radiation
0-30 cm,Rad 0%,2013,-1.5276306835122486,0.9582084584858971,4,Radiation
0-30 cm,Rad 0%,2014,-1.6651218318972012,0.90894513887765,4,Radiation
0-30 cm,Rad 0%,2015,-1.7977458344442254,0.8354395668191835,4,Radiation
0-30 cm,Rad 0%,2016,-1.7203662212728053,1.1217281070810705,4,Radiation
0-30 cm,Rad 0%,2017,-1.4667172373924835,1.58171845570106,4,Radiation
0-30 cm,Rad 0%,2018,-1.32336474963734,1.6065051227649165,4,Radiation
0-30 cm,Rad 0%,2019,-1.3017468204429448,1.578502195999292,4,Radiation
0-30 cm,Rad 0%,2020,-1.4367008150312373,1.510669624623505,4,Radiation
0-30 cm,Rad 0%,2021,-1.6389962224013672,1.4843626852117013,4,Radiation
0-30 cm,Rad 0%,2022,-1.8282925331109077,1.5056342576053292,4,Radiation
0-30 cm,Rad 0%,2023,-1.9664320441504457,1.5059912570770444,4,Radiation
0-30 cm,Rad 0%,2024,-2.1105911041187415,1.3549881645930995,4,Radiation
0-30 cm,Tmp +3degC,1998,-0.03257923669015205,0.0671087415795881,4,Temperature
0-30 cm,Tmp +3degC,1999,-0.20597906755380346,0.13107720423425182,4,Temperature
0-30 cm,Tmp +3degC,2000,-0.37236732960346136,0.26048077643958367,4,Temperature
0-30 cm,Tmp +3degC,2001,-0.5681675537727336,0.32612749109548717,4,Temperature
0-30 cm,Tmp +3degC,2002,-0.7821797579660281,0.25241313873186355,4,Temperature
0-30 cm,Tmp +3degC,2003,-1.0192049254450481,0.2431880068201248,4,Temperature
0-30 cm,Tmp +3degC,2004,-1.1440242697584189,0.3350676027152819,4,Temperature
