depth,management_label,scen_label,mean_delta_soc_pct,sd_delta_soc_pct,n_rotations,driver
0-30 cm,Biogas digestate | Residue Removed,Rad -10%,-3.0179788727817276,1.2055967982681988,4,Radiation
0-30 cm,Biogas digestate | Residue Removed,Rad -20%,-3.492774933786433,1.072161634695868,4,Radiation
0-30 cm,Biogas digestate | Residue Removed,Rad -30%,-4.283989520707505,1.5308475332200173,4,Radiation
0-30 cm,Biogas digestate | Residue Removed,Rad -5%,-2.5988569345655606,1.1828956793050993,4,Radiation
0-30 cm,Biogas digestate | Residue Removed,Rad 0%,-2.1105911041187415,1.3549881645930995,4,Radiation
0-30 cm,Biogas digestate | Residue Removed,Tmp +0.5degC,-0.5479644065520051,0.9320091821841543,4,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp +1degC,-0.02756077999241234,0.6699640014675393,4,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp +2degC,-1.1358378975089538,0.763580125045937,4,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp +3degC,-3.1446851573657195,1.0431283558950701,4,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp -2degC,8.937920694040427,1.036012727780382,4,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp -3degC,11.110891109057729,1.4713560184496128,4,Temperature
0-30 cm,Biogas digestate | Residue Removed,Tmp 0degC,1.319732408135963,1.1696432247162694,4,Temperature
0-30 cm,Biogas digestate | Residue Retained,Rad -10%,-3.5850668646542294,1.7331887793229326,4,Radiation
0-30 cm,Biogas digestate | Residue Retained,Rad -20%,-4.614469083531148,2.0971193444007503,4,Radiation
0-30 cm,Biogas digestate | Residue Retained,Rad -30%,-5.388492451450057,1.619862922455807,4,Radiation
0-30 cm,Biogas digestate | Residue Retained,Rad -5%,-2.90072065047072,1.469430378005715,4,Radiation
0-30 cm,Biogas digestate | Residue Retained,Rad 0%,-2.2290786969408543,1.8384342865812244,4,Radiation
0-30 cm,Biogas digestate | Residue Retained,Tmp +0.5degC,0.15626414913059483,1.2143380596191429,4,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp +1degC,-0.5118810676907501,0.848206660471746,4,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp +2degC,-1.6570451804930768,1.1612695861696474,4,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp +3degC,-3.7917023891171393,1.2313145615071426,4,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp -2degC,8.549315817249592,1.694422912722557,4,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp -3degC,10.79883054386196,2.1051587416791024,4,Temperature
0-30 cm,Biogas digestate | Residue Retained,Tmp 0degC,0.6142146061131244,0.849765404651064,4,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Rad -10%,-3.2673458175413277,1.7549459197604094,4,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Rad -20%,-3.4090428489626845,1.5673532001861408,4,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Rad -30%,-3.3163723794780644,1.601615528542069,4,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Rad -5%,-3.1618424136425136,1.9877626605023806,4,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Rad 0%,-2.3104206148804893,2.028541322217475,4,Radiation
0-30 cm,Mineral fertiliser | Residue Removed,Tmp +0.5degC,0.367650444820175,0.7367973541827022,4,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp +1degC,0.29611537202647303,0.4880033166096017,4,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp +2degC,-0.8981755911985595,0.6109956261650984,4,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp +3degC,-3.0468819801910776,0.863886628827251,4,Temperature
0-30 cm,Mineral fertiliser | Residue Removed,Tmp -2degC,8.97223995399367,2.109871117963747,4,Temperature
