fertilisation,residue,weather_scenario,weather_factor,weather_signed_change_pct,strip_position,weather_is_baseline,system_asy_MgDM_ha_yr,sd_across_rotations,n_rotations,signed_level,wf,scen_label,reference_asy,relative_yield_pct,management_label,leaching_kgN_ha,leaching_sd_kgN_ha,driver,yield_metric
Biogas digestate,Residue Removed,weatherBaselineopen,Baseline,0,Open field,TRUE,11.48430646611111,1.187072494095085,4,0,Reference,Reference,11.48430646611111,100,Biogas digestate | Residue Removed,27.19956437788889,1.7440500848343652,Open field,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherRad0Center,Radiation,0,Center,FALSE,9.079083701388889,0.6622489720001921,4,0,Radiation,Rad 0%,11.48430646611111,79.05643869902147,Biogas digestate | Residue Removed,25.255716817592592,4.204081496431254,Radiation,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherRad10dwnCenter,Radiation,-10,Center,FALSE,8.424723532833333,0.35699172921315125,4,-10,Radiation,Rad -10%,11.48430646611111,73.35857465745745,Biogas digestate | Residue Removed,25.48206914537037,3.773446310181418,Radiation,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherRad20dwnCenter,Radiation,-20,Center,FALSE,7.256382753477777,0.23378811203588643,4,-20,Radiation,Rad -20%,11.48430646611111,63.185206480605004,Biogas digestate | Residue Removed,23.49993548201852,5.693403486101982,Radiation,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherRad30dwnCenter,Radiation,-30,Center,FALSE,5.466202177830278,0.3160906635808943,4,-30,Radiation,Rad -30%,11.48430646611111,47.59714654045869,Biogas digestate | Residue Removed,21.090175836574076,2.925532801368224,Radiation,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherRad5dwnCenter,Radiation,-5,Center,FALSE,8.662277393046296,0.23463961586633253,4,-5,Radiation,Rad -5%,11.48430646611111,75.4270831992136,Biogas digestate | Residue Removed,24.884538080555554,4.59873377367219,Radiation,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherTmp0Center,Temperature,0,Center,FALSE,11.275342763537036,0.6883428156836083,4,0,Temperature,Tmp 0degC,11.48430646611111,98.18044125528432,Biogas digestate | Residue Removed,24.966966585185183,3.747550901681875,Temperature,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherTmp0p5upCenter,Temperature,0.5,Center,FALSE,11.496044884281481,1.374364584702355,4,0.5,Temperature,Tmp +0.5degC,11.48430646611111,100.1022126865476,Biogas digestate | Residue Removed,24.84232790833333,1.8213255553597258,Temperature,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherTmp1upCenter,Temperature,1,Center,FALSE,13.122951202037036,0.959942323250519,4,1,Temperature,Tmp +1degC,11.48430646611111,114.26855631867176,Biogas digestate | Residue Removed,28.04480587399074,1.5447436839387805,Temperature,All-crop ASY AGB
Biogas digestate,Residue Removed,weatherTmp2dwnCenter,Temperature,-2,Center,FALSE,7.795638599145371,0.4598831879520729,4,-2,Temperature,Tmp -2degC,11.48430646611111,67.88079560702616,Biogas digestate | Residue Removed,13.623061167592592,4.177188371997834,Temperature,All-crop ASY AGB
