shelter_pct,flux,mean_relative_pct,sd_relative_pct,n_years
0,Actual ET,-1.7456961798877042,0.6570898793580846,27
0,Potential ET,-2.2775159237289966,0.5786292905180606,27
0,Reference ET0,-3.071722027656376,0.6152038069317896,27
20,Actual ET,-2.884003355658275,1.0536512701418073,27
20,Potential ET,-3.7240688933906614,0.9478503711438622,27
20,Reference ET0,-5.159665053634827,1.0256715818115125,27
30,Actual ET,-3.4896759555894126,1.2608569476139238,27
30,Potential ET,-4.476034876657652,1.1412806167939693,27
30,Reference ET0,-6.296389680004882,1.245068634611636,27
40,Actual ET,-4.115392475393429,1.470148497239458,27
40,Potential ET,-5.2603790451696115,1.3426162862857334,27
40,Reference ET0,-7.506147850800999,1.475718539631494,27
50,Actual ET,-4.760117206801825,1.6856939764859462,27
50,Potential ET,-6.04476706969832,1.5472495921106093,27
50,Reference ET0,-8.798477999162895,1.7180181665711738,27
60,Actual ET,-5.80329579384362,2.0407354060717564,27
60,Potential ET,-7.244734765190072,2.6349404050160765,27
60,Reference ET0,-10.192332467315635,1.9766532892641624,27
70,Actual ET,-6.4997765127859255,2.2512089825066117,27
70,Potential ET,-8.044491548366999,2.790893224622532,27
70,Reference ET0,-11.693921176311918,2.244939124687946,27
