crop_renamed,driver,mean_response,sd_response,response_range
Grass-Clover,Radiation,-32.93646908533322,14.34873877394985,34.96729337803558
Grass-Clover,Temperature,4.0040740440790055,37.03774207484027,100.54171149293649
Grass-Clover,Wind,-0.6446934819571091,1.5256169598840228,3.3528690986745007
Ryegrass (undersown),Radiation,-83.32517618999306,11.04454833252079,27.138553399106172
Ryegrass (undersown),Temperature,-18.14764861115618,38.422184280382716,95.40562166922409
Ryegrass (undersown),Wind,1.3742132381512437,0.5154041513444872,1.3086038081079383
Soybean,Radiation,-20.220791776291335,8.39517550874118,20.49022687406073
Soybean,Temperature,-9.136848839047842,19.340390999112394,49.14053996855209
Soybean,Wind,1.4240658199739769,0.36738468308944183,1.1164041063117842
Spring Barley,Radiation,-20.701593152841774,8.260866407566368,20.322617133805714
Spring Barley,Temperature,-9.161413024499458,26.453699552890246,67.92437305442182
Spring Barley,Wind,1.0881429265597906,0.3602538102228669,0.9503346512707804
Winter Wheat,Radiation,-42.52723650932592,16.59395677502317,41.335700322615246
Winter Wheat,Temperature,-9.082021957917997,17.386420965466584,46.41902413552526
Winter Wheat,Wind,-2.0509493308000684,0.8354573869169847,2.3327142308736075
