fertilisation,residue,management_label,scen_label,flux,mean_kgN_ha,sd_kgN_ha,n_rotations,driver
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Reference,Mineralisation,211.0065398148148,12.594177973782648,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Reference,Crop N uptake,246.4678111111111,10.267513210069332,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Reference,Biological N fixation,175.36941527777776,20.813759279747373,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad 0%,Mineralisation,187.98913703703704,18.233376565582223,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad 0%,Crop N uptake,218.94798425925927,17.431110478980642,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad 0%,Biological N fixation,132.83179089814814,34.04098355032308,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -5%,Mineralisation,178.03989722222224,18.25040588741983,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -5%,Crop N uptake,209.33422777777778,17.589984938795066,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -5%,Biological N fixation,115.77790529129629,33.700861878808716,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -10%,Mineralisation,182.27446666666668,11.066475618333738,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -10%,Crop N uptake,209.6960212962963,12.195161750150374,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -10%,Biological N fixation,125.90504890555555,21.479258603132575,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -20%,Mineralisation,183.14902407407408,6.41618625301752,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -20%,Crop N uptake,204.62838333333332,10.001594618989142,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -20%,Biological N fixation,126.01523952777778,9.558969019858187,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -30%,Mineralisation,173.09112037037036,5.56271741165951,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -30%,Crop N uptake,192.18626018518518,7.121238477350513,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Rad -30%,Biological N fixation,107.44786837037037,10.882745331287175,4,Radiation
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Reference,Mineralisation,211.0065398148148,12.594177973782648,4,Temperature
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Reference,Crop N uptake,246.4678111111111,10.267513210069332,4,Temperature
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Reference,Biological N fixation,175.36941527777776,20.813759279747373,4,Temperature
Mineral fertiliser,Residue Removed,Mineral fertiliser | Residue Removed,Tmp -3degC,Mineralisation,157.92647796296296,11.465496988221815,4,Temperature
