component,scen_label,mean_mm,sd_mm,n_rotation_years,driver
Precipitation,Rad -10%,672.8518518518518,123.07175741482733,108,Radiation
Precipitation,Rad -20%,672.8518518518518,123.07175741482733,108,Radiation
Precipitation,Rad -30%,672.8518518518518,123.07175741482733,108,Radiation
Precipitation,Rad -5%,672.8518518518518,123.07175741482733,108,Radiation
Precipitation,Rad 0%,672.8518518518518,123.07175741482733,108,Radiation
Precipitation,Tmp +0.5degC,672.8518518518518,123.07175741482733,108,Temperature
Precipitation,Tmp +1degC,672.8518518518518,123.07175741482733,108,Temperature
Precipitation,Tmp +2degC,672.8518518518518,123.07175741482733,108,Temperature
Precipitation,Tmp +3degC,672.8518518518518,123.07175741482733,108,Temperature
Precipitation,Tmp -2degC,672.8518518518518,123.07175741482733,108,Temperature
Precipitation,Tmp -3degC,672.8518518518518,123.07175741482733,108,Temperature
Precipitation,Tmp 0degC,672.8518518518518,123.07175741482733,108,Temperature
Precipitation,Wind -20%,672.8518518518518,123.07175741482733,108,Wind
Precipitation,Wind -30%,672.8518518518518,123.07175741482733,108,Wind
Precipitation,Wind -40%,672.8518518518518,123.07175741482733,108,Wind
Precipitation,Wind -50%,672.8518518518518,123.07175741482733,108,Wind
Precipitation,Wind -60%,672.8518518518518,123.07175741482733,108,Wind
Precipitation,Wind -70%,672.8518518518518,123.07175741482733,108,Wind
Precipitation,Wind 0%,672.8518518518518,123.07175741482733,108,Wind
Potential ET,Rad -10%,402.5195462962963,49.586292478320054,108,Radiation
Potential ET,Rad -20%,367.8260462962963,46.24555751584261,108,Radiation
Potential ET,Rad -30%,335.1227037037037,41.75416674003181,108,Radiation
Potential ET,Rad -5%,419.3976944444444,50.99606491295871,108,Radiation
Potential ET,Rad 0%,437.65687962962966,52.20172657360817,108,Radiation
Potential ET,Tmp +0.5degC,503.05441666666667,56.0678147566955,108,Temperature
Potential ET,Tmp +1degC,527.7030277777778,56.70913520624648,108,Temperature
Potential ET,Tmp +2degC,577.5923148148148,60.850346419221125,108,Temperature
Potential ET,Tmp +3degC,624.9751759259259,70.08243711366772,108,Temperature
Potential ET,Tmp -2degC,392.55096296296296,54.9807315838371,108,Temperature
Potential ET,Tmp -3degC,349.4933888888889,50.11952855109274,108,Temperature
Potential ET,Tmp 0degC,477.69431481481485,55.37246070085914,108,Temperature
Potential ET,Wind -20%,482.6046111111111,51.33582671034205,108,Wind
Potential ET,Wind -30%,477.757537037037,50.3910631977028,108,Wind
Potential ET,Wind -40%,472.7535,49.4328650545836,108,Wind
Potential ET,Wind -50%,467.6456574074074,48.48485866706889,108,Wind
Potential ET,Wind -60%,461.8199351851852,47.40982935098182,108,Wind
Potential ET,Wind -70%,456.6343240740741,46.51691514185517,108,Wind
Potential ET,Wind 0%,491.7971574074074,53.18575178484287,108,Wind
Actual ET,Rad -10%,397.2564351851852,47.30091456828039,108,Radiation
Actual ET,Rad -20%,364.79841666666664,44.38754828622718,108,Radiation
Actual ET,Rad -30%,333.4211574074074,40.45790909038239,108,Radiation
Actual ET,Rad -5%,412.6775925925926,48.402706753894414,108,Radiation
Actual ET,Rad 0%,429.3124814814815,49.66160207545251,108,Radiation
Actual ET,Tmp +0.5degC,486.2911759259259,53.164125555059975,108,Temperature
Actual ET,Tmp +1degC,506.5325648148148,55.48527789217119,108,Temperature
Actual ET,Tmp +2degC,541.5816759259259,63.128126681048286,108,Temperature
Actual ET,Tmp +3degC,568.766962962963,72.00898194532648,108,Temperature
Actual ET,Tmp -2degC,386.66396296296296,50.575796269906256,108,Temperature
Actual ET,Tmp -3degC,346.05912037037035,47.15155047959966,108,Temperature
Actual ET,Tmp 0degC,464.2694814814815,51.44326686594442,108,Temperature
Actual ET,Wind -20%,468.01812037037035,49.69966659767402,108,Wind
