crop_renamed,source,pct
Grass-Clover,"Rotation-permutation spread
(weather-year assignment alone)",20.334597925524953
Grass-Clover,"One radiation-scenario step
(mean across the ladder)",12.912611157557208
Ryegrass (undersown),"Rotation-permutation spread
(weather-year assignment alone)",73.1664540913444
Ryegrass (undersown),"One radiation-scenario step
(mean across the ladder)",41.92096969683304
Soybean,"Rotation-permutation spread
(weather-year assignment alone)",10.324357446262992
Soybean,"One radiation-scenario step
(mean across the ladder)",6.3752956980358055
Spring Barley,"Rotation-permutation spread
(weather-year assignment alone)",27.650214064346354
Spring Barley,"One radiation-scenario step
(mean across the ladder)",6.498428874070201
Winter Wheat,"Rotation-permutation spread
(weather-year assignment alone)",21.781396518160744
Winter Wheat,"One radiation-scenario step
(mean across the ladder)",17.69510846800027
