simulation_id,scenario_unit,reference_type,run_id,soil,rotation,rotation_code,fertilisation,residue,weather_scenario,weather_factor,weather_direction,weather_change_pct,weather_signed_change_pct,strip_position,weather_is_baseline
SIM0001,NA,Open-field baseline,foulum_RotationGCMin_weatherBaselineopen,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherBaselineopen,Baseline,No change,0,0,Open field,TRUE
SIM0002,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherRad30dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherRad30dwnCenter,Radiation,Decrease,30,-30,Center,FALSE
SIM0003,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherRad20dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherRad20dwnCenter,Radiation,Decrease,20,-20,Center,FALSE
SIM0004,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherRad10dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherRad10dwnCenter,Radiation,Decrease,10,-10,Center,FALSE
SIM0005,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherRad5dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherRad5dwnCenter,Radiation,Decrease,5,-5,Center,FALSE
SIM0006,percent,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherRad0Center,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherRad0Center,Radiation,No change,0,0,Center,FALSE
SIM0007,percent,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherRad0East,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherRad0East,Radiation,No change,0,0,East,FALSE
SIM0008,percent,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherRad0West,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherRad0West,Radiation,No change,0,0,West,FALSE
SIM0009,degC,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherTmp3dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp3dwnCenter,Temperature,Decrease,3,-3,Center,FALSE
SIM0010,degC,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherTmp2dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp2dwnCenter,Temperature,Decrease,2,-2,Center,FALSE
SIM0011,degC,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherTmp0Center,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp0Center,Temperature,No change,0,0,Center,FALSE
SIM0012,degC,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherTmp0East,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp0East,Temperature,No change,0,0,East,FALSE
SIM0013,degC,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherTmp0West,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp0West,Temperature,No change,0,0,West,FALSE
SIM0014,degC,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherTmp0p5upCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp0p5upCenter,Temperature,Increase,0.5,0.5,Center,FALSE
SIM0015,degC,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherTmp1upCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp1upCenter,Temperature,Increase,1,1,Center,FALSE
SIM0016,degC,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherTmp2upCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp2upCenter,Temperature,Increase,2,2,Center,FALSE
SIM0017,degC,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherTmp3upCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherTmp3upCenter,Temperature,Increase,3,3,Center,FALSE
SIM0018,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherWin70dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin70dwnCenter,Wind,Decrease,70,-70,Center,FALSE
SIM0019,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherWin60dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin60dwnCenter,Wind,Decrease,60,-60,Center,FALSE
SIM0020,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherWin50dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin50dwnCenter,Wind,Decrease,50,-50,Center,FALSE
SIM0021,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherWin40dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin40dwnCenter,Wind,Decrease,40,-40,Center,FALSE
SIM0022,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherWin30dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin30dwnCenter,Wind,Decrease,30,-30,Center,FALSE
SIM0023,percent,Perturbation from VAPV 0-level,foulum_RotationGCMin_weatherWin20dwnCenter,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin20dwnCenter,Wind,Decrease,20,-20,Center,FALSE
SIM0024,percent,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherWin0Center,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin0Center,Wind,No change,0,0,Center,FALSE
SIM0025,percent,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherWin0East,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin0East,Wind,No change,0,0,East,FALSE
SIM0026,percent,VAPV 0-level (modelled microclimate),foulum_RotationGCMin_weatherWin0West,foulum,Grass-Clover rotation,GC,Mineral fertiliser,NA,weatherWin0West,Wind,No change,0,0,West,FALSE
SIM0027,NA,Open-field baseline,foulum_Rotation1DigRem_weatherBaselineopen,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherBaselineopen,Baseline,No change,0,0,Open field,TRUE
SIM0028,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherRad30dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad30dwnCenter,Radiation,Decrease,30,-30,Center,FALSE
SIM0029,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherRad20dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad20dwnCenter,Radiation,Decrease,20,-20,Center,FALSE
SIM0030,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherRad10dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad10dwnCenter,Radiation,Decrease,10,-10,Center,FALSE
SIM0031,percent,Perturbation from VAPV 0-level,foulum_Rotation1DigRem_weatherRad5dwnCenter,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad5dwnCenter,Radiation,Decrease,5,-5,Center,FALSE
SIM0032,percent,VAPV 0-level (modelled microclimate),foulum_Rotation1DigRem_weatherRad0Center,foulum,Rotation 1,1,Biogas digestate,Residue Removed,weatherRad0Center,Radiation,No change,0,0,Center,FALSE
